##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	F-50179271-003S_S30_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1108	115-119	-0.2073257893088325
1108	120-124	-0.3108260304859485
1108	125-129	-0.14196019756053602
1108	130-134	-0.08647998932066514
1108	135-139	-0.18642627635837528
1108	140-144	-0.3110806974485527
1108	145-149	-0.3067226994330241
1108	150-151	-0.09141739402960525
1109	1	-0.05136578836861361
1109	2	-0.13514764781137956
1109	3	-0.06040754732634923
1109	4	-0.1189798965335811
1109	5	-0.019984080712632135
1109	6	-0.1988258674692318
1109	7	-0.009042410626136643
1109	8	-0.033381681909268934
1109	9	-0.05342429540309013
1109	10-14	0.008605529237556198
1109	15-19	-0.0884430619404668
1109	20-24	-0.07334987926410719
1109	25-29	-0.08273217061648097
1109	30-34	-0.09936540294602025
1109	35-39	-0.1300805444252049
1109	40-44	-0.2878375665396149
1109	45-49	-0.251449506673886
1109	50-54	-0.203086279605742
1109	55-59	-0.24660691115470712
1109	60-64	-0.3279593068165383
1109	65-69	-0.360549580141182
1109	70-74	-0.3044208717781842
1109	75-79	-0.3254270648520503
1109	80-84	-0.2618053344073985
1109	85-89	-0.3105025403476347
1109	90-94	-0.3397545790407719
1109	95-99	-0.41928795330532154
1109	100-104	-0.29969934086156513
1109	105-109	-0.49470931686290953
1109	110-114	-0.5241355813147948
1109	115-119	-0.6729374971477355
1109	120-124	-0.6988702537409353
1109	125-129	-0.4851565553041297
1109	130-134	-0.5323558145288274
1109	135-139	-0.8082108139978672
1109	140-144	-0.7871090632592797
1109	145-149	-0.7824866001417732
1109	150-151	-0.6363083542379186
1110	1	-0.08845367453436381
1110	2	-0.08475286000474824
1110	3	-0.20159177918891658
1110	4	-0.07053343842422066
1110	5	-0.1469808143951994
1110	6	-0.31397238908580505
1110	7	-0.16460571180478922
1110	8	-0.16430532824707456
1110	9	-0.022342716204562407
1110	10-14	-0.15682522274862976
1110	15-19	-0.11834076305234476
1110	20-24	-0.12071575397037293
1110	25-29	-0.12742129200216823
1110	30-34	-0.24430576928542536
1110	35-39	-0.14100794613967338
1110	40-44	-0.2837671650914899
1110	45-49	-0.18949346691750435
1110	50-54	-0.2805824459399773
1110	55-59	-0.1519970953238854
1110	60-64	-0.34799947094901285
1110	65-69	-0.32183160684593304
1110	70-74	-0.3708832398192925
1110	75-79	-0.39133015185400666
1110	80-84	-0.29281148969072035
1110	85-89	-0.3497732925435528
1110	90-94	-0.3523256647959485
1110	95-99	-0.4060356596482606
1110	100-104	-0.12635816654255905
1110	105-109	-0.37228146072009594
1110	110-114	-0.47625478369907626
1110	115-119	-0.4578200006887698
1110	120-124	-0.478155071123318
1110	125-129	-0.5589585222730875
1110	130-134	-0.29944574721587713
1110	135-139	-0.5673690149464221
1110	140-144	-0.5276436961656259
1110	145-149	-0.5688532107700652
1110	150-151	-0.563312169731141
1111	1	-0.060913402113911275
1111	2	-0.03695910050811335
1111	3	-0.047271431263304464
1111	4	-0.11914724915000363
1111	5	-0.1332349716803236
1111	6	-0.1299255485058879
1111	7	-0.08230119585292783
1111	8	-0.11003880984846859
1111	9	-0.1906594213691335
1111	10-14	-0.14912758581093044
1111	15-19	-0.16669420581232686
1111	20-24	-0.23554100041209125
1111	25-29	-0.16816968519393782
1111	30-34	-0.21100496494236864
1111	35-39	-0.20821019208686664
1111	40-44	-0.3290463837430835
1111	45-49	-0.21184312238224123
1111	50-54	-0.22446878343710353
1111	55-59	-0.1962134429512261
1111	60-64	-0.3178465496832885
1111	65-69	-0.35952336452647415
1111	70-74	-0.4694548062148485
1111	75-79	-0.3684792894571842
1111	80-84	-0.35846045368021606
1111	85-89	-0.3561072232632867
1111	90-94	-0.4092419389156916
1111	95-99	-0.47691928696850994
1111	100-104	-0.2469474145037296
1111	105-109	-0.6622760215702854
1111	110-114	-0.7491452415865538
1111	115-119	-0.8416229032867051
1111	120-124	-0.7717999006425487
1111	125-129	-0.7891604306279021
1111	130-134	-0.7297043796448577
1111	135-139	-0.9079172735874153
1111	140-144	-0.9947650928667215
1111	145-149	-0.8910771066563967
1111	150-151	-1.1577251568554985
1112	1	0.10706669910302935
1112	2	0.03064469984113316
1112	3	0.09591908449171171
1112	4	0.03922605855103001
1112	5	0.07191189614442806
1112	6	0.039565937797988227
1112	7	-0.04962473115735122
1112	8	-0.13389382726612098
1112	9	-0.003849575359112123
1112	10-14	0.03932677080600655
1112	15-19	0.029515028448493297
1112	20-24	0.05480632061745183
1112	25-29	-0.004091147158220565
1112	30-34	-0.0327212334759821
1112	35-39	-0.04542626296633756
1112	40-44	-0.09021953613444111
1112	45-49	-0.11619029634398004
1112	50-54	-0.05455725153033342
1112	55-59	0.05616517505920626
1112	60-64	-0.15176986311660556
1112	65-69	-0.22647217570467149
1112	70-74	-0.09703960711653536
1112	75-79	-0.18548064380376417
1112	80-84	-0.13116376015253195
1112	85-89	-0.17231323555287048
1112	90-94	-0.16606098875035258
1112	95-99	-0.28790967583004345
1112	100-104	0.04102228176922296
1112	105-109	-0.1476095190951341
1112	110-114	-0.25455597191790247
1112	115-119	-0.25449759992696386
1112	120-124	-0.31187124975467384
1112	125-129	-0.274237147949556
1112	130-134	-0.20772191727714073
1112	135-139	-0.3662115571752196
1112	140-144	-0.3230850620338117
1112	145-149	-0.32554779798731914
1112	150-151	-0.6493747142675161
1113	1	0.16572998255398375
1113	2	0.1283785020184638
1113	3	0.0784508725462203
1113	4	0.10931885205286562
1113	5	0.20112727874013103
1113	6	0.22400760177902868
1113	7	0.11520848928689276
1113	8	-0.015006407576414915
1113	9	0.11235868428830997
1113	10-14	0.04429007329270007
1113	15-19	0.014600939246676603
1113	20-24	8.445182342882163E-4
1113	25-29	0.016649326279981835
1113	30-34	-0.07003429005845874
1113	35-39	-0.04505729013491333
1113	40-44	-0.04947621842114813
1113	45-49	-0.07889724711368018
1113	50-54	-0.09903449664606967
1113	55-59	-0.014705751842356563
1113	60-64	-0.11348281860129106
1113	65-69	-0.20956887257514722
1113	70-74	-0.16828676197567916
1113	75-79	-0.19953300984607836
1113	80-84	-0.06535481769088847
1113	85-89	-0.13806444929224426
1113	90-94	-0.24081732727114513
1113	95-99	-0.17011676296500156
1113	100-104	-0.02212248519446547
1113	105-109	-0.20454086952116768
1113	110-114	-0.3494058278292087
1113	115-119	-0.47368117653672215
1113	120-124	-0.35512382115822305
1113	125-129	-0.3467219451635728
1113	130-134	-0.23543543336605666
1113	135-139	-0.5477294191124997
1113	140-144	-0.5403972857249926
1113	145-149	-0.570006640048021
1113	150-151	-0.4178216108197148
1114	1	0.16341610471668133
1114	2	0.16741246081645755
1114	3	0.17774219429151117
1114	4	0.3284687638332642
1114	5	0.3334524014958191
1114	6	0.169440557386217
1114	7	0.11166993469420561
1114	8	0.14288205603563142
1114	9	0.160374967035132
1114	10-14	0.06341493155244393
1114	15-19	0.0671268751577827
1114	20-24	0.13381683263564526
1114	25-29	0.10864934436285267
1114	30-34	0.02279531357822151
1114	35-39	0.12147186341738347
1114	40-44	-9.196152435961835E-4
1114	45-49	0.04379215535496428
1114	50-54	-0.0012161724770649585
1114	55-59	0.20230983872001929
1114	60-64	2.595943863497041E-4
1114	65-69	0.030144833569927698
1114	70-74	-0.02280566468719769
1114	75-79	-0.0074682358345725675
1114	80-84	-0.02614337170336256
1114	85-89	0.004459418675295979
1114	90-94	-0.14527350478103074
1114	95-99	-0.14452877864170688
1114	100-104	0.09621011049829775
1114	105-109	-0.20006829796849246
1114	110-114	-0.2428868602142913
1114	115-119	-0.2157325992663388
1114	120-124	-0.14966139304529236
1114	125-129	-0.072153871853331
1114	130-134	0.1361387065648998
1114	135-139	-0.10301823404196142
1114	140-144	-0.11110707073724768
1114	145-149	-0.07524308284180137
1114	150-151	-0.21870422491807773
1115	1	0.27936093830827957
1115	2	0.5208025961270977
1115	3	0.49431568517407243
1115	4	0.4577283197790152
1115	5	0.3486094599205032
