mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K20454 0 0 0 4 0 0 2 1 4 1 1 0 1 0 0 0 1 0 0 1 0 2 0 2 1 1 3 1 0 0 2 0 0 1 3 0 0 3 0 0 0 1 0 3 1 0 5 0 5 0 0 2 0 0 3 0 1 2 0 1 2 6 0 1 1 0 0 0 0 1 1 2 0 2 0 0 0 0 2 0 1 1 1 5 0 0 0 1 1 0 2 2 2 3 1 3 0 0 0 1 2 0 1 0 2
K20456 0 0 3 6 0 0 8 8 0 5 1 0 0 0 1 1 5 2 0 2 2 0 1 7 1 3 3 1 1 0 3 5 0 4 2 0 4 0 2 9 8 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 5 0 0 0 0 3 0 2 0 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 1 0 0 4 0 0
K20457 0 0 0 1 0 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2.34 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 3 1 0 1
K20463 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
K20465 0 0 6 3 0 0 8 19 0 0 1 0 0 0 3 2 5 1 0 5 0 0 2 3 0 9 2 1 1 1 1 20 0 5 3 0 4 0 2 15 9 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 10 0 0 2 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 6 0 0
K20466 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 83 0 6 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 1 0 0 0 0 0 0 0 8 0 0 4 0 0 1 1 0 0 0 4 0 1 0 1 0 1 1 0 0 0 15 0 0 1 1 0 0 0 0 0 2 0
K20469 18 1 7 8 4 23 10 6 6 12 1 28 11 3 17 39 18 29 8 11 52 8 2 22 14 3 45 14 13 11 22 9 0 11 17 4 29 2 9 18 16 0 0 2 2 4 7 26 2 8 4 4 13 1 2 0 0 2 3 0 0 1 8 7 5 1 8 17 1 9 6 24 3 1 0 7 16 4 7 9 2 3 1 4 4 11 0 3 5 2 0 22 25 32 20 1 0 2 0 6 0 0 4 0 0
K20471 0 0 1 2 0 1 3 6 0 0 0 0 0 0 4 1 2 1 0 1 0 1 0 1 0 2 1 0 1 1 0 6 0 2 0 0 2 0 0 8 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0
K20472 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20475 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
K20476 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 2 0 0 0 1 0 2 0 0 0 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20477 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20498 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
K20508 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 2 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
K20509 931.93 2481.43 1711.14 3282.18 924.9 685.32 3346.45 973.19 917.06 872.44 384.81 1242.45 5542.29 719.54 1932.23 851.09 963.85 2634.45 1694.69 1981.45 2216.28 2247.8 773.86 2220.44 487.65 1203.73 2462.12 1342.19 2181.14 743.12 2269.68 2293.66 4658.22 1299.75 1803.54 2807.17 1304.3 3057.07 1379.35 784.69 1004.35 4734.12 1006.82 2955.06 2473.79 399.98 4593.15 450.32 2972.83 400.98 3447.8 2264.62 1236 1027.55 2055.1 3328.38 2767.24 728.61 2043.36 2324.99 9286.07 1341.7 1167.84 2042.45 3181.54 1757.87 1520.73 979.2 1348.43 3393.8 1332.6 3221.24 1774.68 2888.45 2581.21 1226.85 1411.94 518.09 3093 1985.86 2327.14 1292.78 1711.63 2785.95 463.59 2922.5 2487.23 975.16 4368.04 1271.61 2676.24 1196.68 3481.18 2900.05 685.89 3357.29 2902.99 1632.45 1465.14 1278.26 1530.57 2983.43 3444.84 1071.59 3764.47
K20510 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20520 5 0 2 4 2 10 4 12 4 0 2 4 1 0 5 11 6 4 2 7 13 2 0 6 3 5 11 5 2 3 7 8 0 3 3 5 6 0 3 18 10 1 0 0 2 1 0 14 1 1 1 1 4 0 5 0 0 1 6 0 0 1 2 3 0 2 1 1 2 4 1 6 0 0 1 7 0 1 2 3 1 2 5 5 2 2 0 0 3 1 0 2 1 14 6 0 0 0 0 3 0 0 1 1 0
K20521 1 0 26 23 0 1 22 35 0 2 12 1 1 0 9 13 7 8 0 13.99 4 4 2 8 0 22 5 2 2 2 3 57 0 25 7 0 10 0 6 38 21 0 7 0 4 0 0 0 5 0 0 0 0 1 0 0 0 3 1 0 0 2 0 1 0 0 1 0 0 2 4 1 0 2 0 19 2 0 5 0 4 2 12 0 0 2 0 5 9 1 0 0 0 12 1 0 0 0 0 0 0 0 3 0 0
K20522 1 0 18 23 0 1 25 26 0 2 5 0 0 0 9 4 9 6 0 20 3 7 3 12 0 20 3 3 1 5 5 52 0 14 7 0 5 0 3 14 8 0 3 0 3 0 0 0 4 0 0 1 0 0 0 0 0 2 3 0 0 2 0 1 2 1 0 1 0 1 4 2 0 2 0 27 1 1 7 0 4 0 8 1 0 1 0 0 14 0 0 1 6 52 0 0 0 0 0 2 0 0 1 0 0
K20523 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20524 0 0 1 2 0 0 3 6 0 0 1 0 0 1 2 2 0 1 0 2 0 0 0 0 0 1 1 2 1 0 0 9 0 6 0 0 3 0 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 7 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
K20525 0 39 0 49 0 0 0 0 1 0 0 0 2.16 1 2 0 0 3.24 1 0 0 1 0 0 1 2 1 2.99 1 0 2 0 9 3 5 0 0 4 1.01 0 0 34.04 0 148.01 76 0 278.36 0 66 0 118 37 0 0 113 29.01 0 0 0 0 3369.18 4.77 2 16.37 163 0 0 0 4 0 27 27 1 119 0 0 0 0 133.57 31 0 0 17 92 0 22.2 0 0 129.53 0 84.38 0 32.47 50 0 47.35 0 0 114.14 0 45.18 0 25.54 0 124
K20526 0 0 1 0 0 1 2 3 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 1 0 3 0 0 0 0 0 2 0 1 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 6 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20527 0 13 0 0 1 0 0 0 3 1 0 1 0 5.6 3 0 1 0 0 2 7.7 1 0 0 1 2 3 0 0 2 0 0 0 0 0 4 0 0 0 2 1 1 0 0 0 0 0 1 0 0 0 1 8.43 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 6 0 1 0 2.49 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 2 0 0 0 0 7 0 0
K20530 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0
K20532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
K20533 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 2 0 1 0 0 1 0 0 1 0 1 0 4 0 0
K20534 662.06 366.69 293.88 909.07 309.51 537.11 852.96 345.58 494.83 323.54 274.05 481.94 1756.21 420.6 490.3 332.64 361.7 453.59 543.45 548.57 539.42 421.46 423.16 418.36 336.1 323.3 492.04 594.9 497.69 236.62 539.64 415.09 1337.31 592.73 375.1 445.04 418.75 826.28 469.26 240.27 511.55 1009.42 619.93 1121.68 623.16 379.87 821.28 593.28 975.98 142.29 832.56 631.73 780.55 314.75 924.46 796.74 803.09 277.38 667.75 567.31 1762.22 244.35 810.88 943.82 794.57 606.47 332.85 424.37 180.14 502.07 414.09 1059.03 715.42 478.66 641.56 240.72 504.74 544.61 852.91 507.83 527.65 416.86 731.51 780.83 326.13 497.59 400.62 225.85 1094.93 358.76 898.48 375.7 877.96 933.99 771.81 499.05 637.56 490.16 599.15 421.91 360.5 363.61 772.56 696.21 893
K20535 0 0 0 3 0 2 0 6 7 0 5 2 32 1 10 0 9 1 7 4 17 5 0 1 5 2 9 4 1 0 4 3 2 7 3 0 4 4 6 0 2 0 0 0 3 11 0 4 11 1 0 0 0 0 8 0 10 1 6 0 0 0 4 2 2 0 0 0 2 0 0 7 8 1 2 0 3 2 2 0 1 4 2 2 3 0 4 0 5 2 1 0 1 8 2 1 0 11 0 0 0 0 5 4 0
K20541 2 2 4 2 3 0 0 0 0 0 0 0 16 0 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 10 0 0 16 0 0 2 0 0 16 0 6 0 0 2 6 0 0 0 2 6 0 0 10 14 6 10 2 4 0 0 0 0 2 0 2 0 12 0 8 0 0 2 0 13 0 0 0 4 2 0 0 2 0 6 0 10 0 4 0 0 8 0 0 2 4 0 2 2 18 0 0 6
K20542 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20543 2 0 6 3 0 4 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0 1 0 0 3 1 0 0 0 2 3 1 0 1 3 2 0 5 0 2 4 7 0 2 0 0 2 1 0 0 0 0 7 0 0 0 2 2 0 15 0 0 0 1 1 4 0 10 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0
K20547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
K20549 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20573 1 3 1 7 0 2 3 2 1 0 0 1 12 1 1 0 2 5 7 3 4 11 0 6.02 1 0 4 2 12 0 4 1 20 2 1 26 3 3 3 3 2 10.12 2 7 4 0 26 0 4 0 7 2 2 5 3 7 1 0 6 4 18.13 3 14 4 7 0 2 2 3.28 9 2 1 4 9 9 1.41 2 1 5 2 1 5 2 6 0 6 5 0 4 2 1 0 1 18 1 4 13.63 2 4 3 2 8 4.22 4 8
K20579 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 0 1 0 0
K20591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
K20608 64 844.22 1714 127.13 31 74 160 280.22 114 53.49 52.81 206 119.58 143 259 129 342.17 263 126 308.68 972 562 23 298 33.62 161 248 457.89 125 1139 188 410.36 2 120.62 263 6 283 5 322 565 431 29.31 8 63.04 361.81 54 77.4 179 168.49 187 152.27 1142.81 206 37 39.21 3 10 109 6 23 289.23 184.44 4 53 301.92 6 947.64 699 348.47 563 97.14 533.37 118 738.16 49 707.49 365.15 51 332.4 627.67 248.61 66 37.65 110.92 71.93 246.38 7 792 212.87 73 31.8 222 571.57 123.02 259 411.18 8 2 28.04 33 6 4 292 2 54.9
K20609 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 2 2 0 0 0 0 0 0 6 0 0 0 0 0
K20615 43.67 216.91 355.39 41 56.56 40.52 58.86 143 65.95 7 32.17 91.1 62.51 44.32 147.68 69 174.44 51.68 68.06 242.41 139.73 98 112.84 62.5 35.75 60 70.58 161.87 49.07 291.49 53.97 116.75 40 48.06 87.01 70.74 122.76 48.43 93.02 125 96.1 99 12 42.31 55.17 22.01 30 48.19 43.51 59.91 58.36 224.95 92.82 5 37.69 68.7 26 29 46.77 94.73 69.96 41.6 12 59.07 80.14 48 171.89 175.83 125 309.73 41.58 118.55 33.81 191.02 50.47 121 108 19.47 117.29 126.33 61.94 33 21.07 61.64 18 60 45.94 275.49 71.98 85.1 45.79 79.77 124.03 79 58.32 250.76 131.31 55.19 64 73.17 24.88 110.96 64.12 34.72 49.35
K20619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20625 204.97 753.81 15 271.45 249 195 228 196.91 326 53 45 361.8 669.53 369.46 114.42 130.49 157 525.14 693.47 173.76 485.28 364.75 20.52 236.92 136.9 114.21 308.38 169.44 49.84 215.61 378.43 312.86 38 198.84 385.2 9 173.35 463 206.55 160.89 201.69 289.77 227.77 332.37 247.1 86.5 385.81 88 456.83 194 626.21 344.51 223.78 47 268.8 313.86 188.75 85.7 305.76 139.01 272.31 139.76 91 347 277.02 138.47 744.99 247.4 458.41 407.96 186.89 477.27 222.07 579.03 212.34 217.26 127.17 39.28 514.37 331.57 192.63 139 314.87 260 38 547.57 32 197.29 395.56 627.94 498.78 107 303.74 370.99 67.16 267.48 233.32 407.66 163.56 297.77 9 20 352.01 134 484.3
K20626 1 15 0 103 6 2 1 57 3 27 35 49 358 34 88 2 27 69 2 99 5 28 0 53 31 96 10 79 1 6 145 95 0 5 39 0 1 76 48 0 55 26 11 29 41 2 54 0 161 1 57 12 0 72 18 3 12 33 1 101 263 56 7 13 60 0 38 15 25 35 47 27 30 131 161 28 7 4 209 46 40 26 18 67 6 94 0 0 44 22 58 14 83 20 2 119 12 22 4 0 2 0 9 2 72
K20627 2 20 0 159 0 55 45 31 2.29 37.3 14 1 102 27 63 0 27 37 3 76 12.56 20 0 2 24 16 47 61 2 3 49 51 1 38 31 2 1 4 53 0 1 18 6 3 84 5 153 4 131 0 14 48 0 3 127 7 43 51 1 383 340 127 0 46 140 7 60 7 72 9 131 175 13 204 41 23 18.97 19 328 37 61 44 199 351 27 80 0 3 212 4 24 14 97 110 3 232 38 67 1 8 5 0 25 0 62
K20636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1
K20638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
K20643 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20656 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K20678 0 1 3 2 0 1 2 1 0 1 1 0 2 0 3 0 2 0 0 3 0 0 0 1 1 0 3 2 2 0 0 0 0 3 0 5 0 0 1 0 1 2 0 0 3 0 1 1 1 0 2 1 1 0 1 3 2 1 0 2 2 2 0 1 1 0 0 1 0 0 0 2 0 1 0 0 1 0 1 0 0 0 0 2 0 1 0 1 0 1 0 2 1 3 1 1 3 1 0 2 2 0 0 0 2
K20679 6 29 22 26.02 7 16 36.83 16 5 15.82 6 26 36.47 9 33 19 27 12 27.83 19 16 20 23 8 1 18 15.47 27.01 13 7 33.88 18 44.68 9 22.46 8 12 34.67 12 13 16.42 25 14 34 4 5 11 6.01 9 4 9 13 9 2 4 14 35.1 10 41 10 15 12 24.34 28.28 22 3 2.56 20.98 0 129 22 4 8.86 38.1 38 14 15 3 13 7 8 14 31.57 14 15 9 27 13 18 11 24.52 14 52.88 15.69 8 55 387 6 21 23 4 89 37 20 19
K20680 66 501.59 787 709.56 37.92 59.92 1027.28 139.01 32 37.73 93.65 404.73 468.53 140.45 300.01 93 293 1660.85 172.94 241.53 935.85 874.17 322.45 438.25 56.56 545.35 345.01 290.82 244 472 385.06 517 312.27 139.77 166.16 22 286 207.99 777.79 131 148 562.06 247.66 365.33 342.99 31.72 458.91 126.27 788.26 31.45 257.76 1502.34 154.46 25.46 99.46 195.98 122.18 79.31 329.33 285.56 1551.01 239.81 133.79 186.01 431.38 36 184.98 600.86 270.99 867.93 266.59 214.18 104.15 940.07 380.2 426.25 310.03 57.55 570.17 276 158 108.37 136.82 178.84 95 320.74 157.68 36 437.19 89.04 172.89 1251.84 914.54 357.61 186.11 437.71 1234.8 102.34 156.53 143.49 108.36 328.65 414.79 111.13 222.34
K20681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
