	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
Q48624	1.34919086545603	11.9281200858476	-1.62947785897995	0.989404064522363	-3.14420032606781
A9KSU3	4.80435564126109	14.5012084814362	-1.62956165400726	0.989399667069196	-1.5937582792927
Q8RBI6	24.0270930026002	42.3965474029684	-1.61322791133071	0.98939471113873	-0.819284672747918
A5VKW4	190.997927262324	502.095422101846	-1.61320192950987	0.98939315090409	-1.39440458916313
O32138	30.6434432796158	54.0875304974019	-1.6304446727817	0.989354272349319	-0.819717612944724
Q18CF6	31.645615298885	89.6417620787399	-1.63130468277608	0.98931043202824	-1.50216538909845
Q18CF1	122.683861159837	265.424701997309	-1.631328835179	0.989309197727453	-1.1133571651572
A4XJH1	6.89623260028142	18.9891534473802	-1.61173154713167	0.989300363480503	-1.46129524990196
Q18B27	3.25442808704547	16.1403814431512	-1.64365689782238	0.98928346432047	-2.31019873348581
Q18CG5	13.246006988531	45.2755314960349	-1.63235332875747	0.989261578773189	-1.77317405277823
A3DDX7	16.6884464861181	37.7162384356817	-1.63271196493903	0.989246186385	-1.17633613682788
Q836X6	0.810042156607243	5.88929001624703	-1.64229600178067	0.989221774500684	-2.86202482384166
P0C096	0.661174562034722	6.53926300350248	-1.61032486549415	0.989211018521052	-3.30602492369518
Q59935	124.373355262511	300.010775781378	-1.64177232527289	0.98920034857295	-1.27033687304298
Q5WNW9	35.8406021799557	57.6762259500766	-1.61009854372329	0.989196803095534	-0.68638188756115
Q838I4	1.92320206513645	11.920154546105	-1.64102728703771	0.989174031146293	-2.63182068517734
Q04664	30.6563538400729	99.1522603422089	-1.63471724547689	0.98917314958742	-1.69345954340634
Q81JL2	11.2714490578935	28.798170359025	-1.60967536522752	0.989170288608931	-1.35330415513424
P37047	31.4731766720363	56.945559862142	-1.64069020314352	0.989165937410544	-0.855460555980582
Q49XT0	4.52147337734089	14.1594279774704	-1.64065645208671	0.989165127577134	-1.64689810941725
A5ITI8	69.9910046632547	145.664971249277	-1.64050294193032	0.989161445502045	-1.05741256534494
Q182G1	3.51065341236446	15.8776466694785	-1.60952912721459	0.989161145811677	-2.1771856180376
Q88WT5	0.590717421577148	4.45990779314773	-1.60935106070575	0.989150026808988	-2.91647381729504
A2RD01	9.98731667582885	78.9857688246421	-1.64001869751586	0.989149844378442	-2.98342371896572
O26953	0.621879823914535	3.78085882933491	-1.63972466175691	0.98914281039797	-2.60400626594947
Q7WTB0	20.0031972830275	68.0227596784192	-1.63935571569706	0.989134312037281	-1.76578692048087
C4Z0C3	17.331988889384	36.8593876928999	-1.63863846859539	0.989130164692639	-1.08859488827102
O05264	5.03278540523003	19.982743698144	-1.6384724908352	0.989129206707333	-1.98932569496865
P39282	155.399177020202	429.735231538545	-1.6377801996605	0.989125218030267	-1.46746919690641
P03000	7.05233965579596	20.1972512993879	-1.60857620845449	0.98910401827866	-1.51798510118923
Q4L9V8	17.1863007901619	37.6934844754641	-1.60803720339429	0.989073482458932	-1.13305611733876
O34055	0.608447867748148	4.6104623887859	-1.60740316427354	0.989037720497086	-2.92170588532544
Q18CS8	5.70075779527537	21.0363075430054	-1.60693825900226	0.989012898103803	-1.88365588079645
B1Y8C7	0.537532366481108	3.28082270899286	-1.60604141299797	0.988970160206225	-2.60963410322167
A2RI75	24.861941057164	74.8249218492527	-1.60516223332133	0.988928917095872	-1.58957992995756
P16524	14.880550110886	59.9152952966669	-1.60508737682715	0.988926232257509	-2.00949648248043
Q9KJF1	29.7263444880447	59.9201202027429	-1.6049138421664	0.988920013747385	-1.01129845504948
Q8Y7I6	7.50956747334256	24.8395232171056	-1.60481506943635	0.988916477754781	-1.72583576127162
B8I3I1	5.75865767365439	15.7498609194526	-1.60418964868069	0.988894146365665	-1.45153462086962
Q8RIG0	4.86189573093179	23.1266243672097	-1.60417878575039	0.988893759378047	-2.24996384264233
A5VI16	59.1384950580563	187.032111123751	-1.60387676699592	0.988883012153379	-1.66111654876689
B3CMS0	1.44655309515124	6.76449932122019	-1.603803286645	0.988880400903285	-2.22536387836725
Q7A742	0.551205882575652	5.90926267745441	-1.60301968747916	0.988855469034547	-3.42231494079416
Q72EX7	2.49173438521479	9.69511833801543	-1.60268815493269	0.988847144460068	-1.96010822024526
Q05523	1.31347614997119	9.46780648511212	-1.60217817576153	0.988834376777199	-2.84964021443463
A4XL42	15.7014815945334	32.1862079375721	-1.60037542081475	0.988799758949708	-1.03554191522893
P00275	11.5653115706578	26.7580580862262	-1.59965482097452	0.988789127190687	-1.21016928615794
Q02009	6.55201904925565	24.8269301760593	-1.59896069997235	0.988783068595298	-1.92189442823961
A0RL96	5.92438089339416	25.7810821781596	-1.5988801313107	0.988782505360591	-2.12157651983423
A3DEU4	8.8074790112519	24.7609417223359	-1.59888003438289	0.988782504683171	-1.4912651481922
Q97I65	1.16255294200759	5.79159953638325	-1.59866611719371	0.98878101067497	-2.31666543261962
P0DD78	0.885365764796951	9.59013251582792	-1.59820159352204	0.988777773558478	-3.43720525675626
A5D2Z6	8.45702319242431	23.5290034622522	-1.5979058661126	0.988775717806365	-1.47621837836836
Q6A7J7	1.65411387614597	8.82319152247107	-1.59648015266621	0.988771051884112	-2.41524204233711
B3VQ24	31.8447720985125	59.7371062486424	-1.59560702865686	0.988769258528882	-0.907570805962186
O31685	6.88409828654324	17.8466074784187	-1.59456941710364	0.988768891772302	-1.37431025309841
A4THM4	0.736552735559513	10.7217949968477	-1.59452390389617	0.988768875737174	-3.86361382283714
O31517	13.7727786491393	28.9757247425289	-1.59435539860812	0.988768816407661	-1.07302509483177
Q74JU6	14.9085482562164	91.8585765023421	-1.594150518053	0.988768744351086	-2.6232746471133
P0DD24	17.4526594198876	88.6720339745124	-1.59411794474371	0.98876873290316	-2.34503227899353
Q180E8	14.1617579528478	39.7200028129479	-1.59407343947068	0.98876871726533	-1.48786536128036
A5D2N5	1.08844422135194	5.12286953725101	-1.59394608425112	0.988768672539437	-2.23468467477313
P77791	2.10178003679154	10.9279724837064	-1.59298359169208	0.988767031960737	-2.37834215999451
A8AQ21	11.7552303693377	51.3165217027217	-1.5924699603767	0.988766039188482	-2.12612057406924
Q8RFS8	30.3004867196194	75.6180051666397	-1.59226071163771	0.988765635577613	-1.31938882291935
O31462	95.9545263817836	451.60290306651	-1.5922364120939	0.988765588738553	-2.23463199213286
P31049	61.3425555796438	232.259285904604	-1.59146226935792	0.988762183274003	-1.9207761010244
Q12RX8	1.27234608727674	10.4918814025594	-1.59094525802885	0.988758958055272	-3.04371035243461
Q57772	261.67257992381	362.297742418455	-1.59083758528766	0.988758287521226	-0.469413060406279
Q8E7F2	0.717222475404414	6.46942525279273	-1.59037644570032	0.988755420236129	-3.17314494474308
B3E3Y3	23.3010155372453	49.3930698209106	-1.58917668355782	0.988741298177384	-1.08391580242504
P0A364	35.5837081077845	134.48603618439	-1.58864930258043	0.98873380485011	-1.91816762018636
P45604	48.1828580241925	86.5339284235232	-1.58861480679804	0.98873331543359	-0.844745927584012
A7GJD2	1.28698815052771	6.54597120036265	-1.58765188977105	0.988715335374956	-2.34660848458613
Q04707	28.4743711873245	86.4067232017882	-1.58739656615509	0.98870929572863	-1.60147958851341
O32140	7.19065322086772	19.0581324609011	-1.58678696689617	0.988694906996698	-1.40621201346396
P45051	6.29277113380884	17.0703356027381	-1.58677513214352	0.988694628089076	-1.43972404343136
Q53922	6.41609290844564	17.4712440140081	-1.58656885710369	0.988689769495813	-1.44521539882191
P42962	23.7582628015429	50.1910303635224	-1.58638783105355	0.988685509750769	-1.07900021277288
A9KP49	8.50035495609705	20.9534423420564	-1.58537370005482	0.988651647392632	-1.30159228556097
P0C0T9	14.3044477507851	30.4048275248712	-1.58455714453837	0.988622762004378	-1.08783660481293
Q839H0	3.28182592795635	17.4235599845193	-1.58369816926992	0.988584476939285	-2.40846880204087
A9KHL4	10.5579752592662	28.8359447267056	-1.58361706296671	0.988580563322889	-1.44953509849221
Q0STE0	1.23058403940501	7.04172913314031	-1.58313906686426	0.988557528419826	-2.51658654750894
P37169	0.905445034548953	6.23910912420637	-1.58256918794878	0.988530132061928	-2.78464107340413
A5VK28	0.56314139819829	5.1375896840334	-1.5822630393151	0.988513682039311	-3.18952255663327
Q042X7	1.66989839724933	15.4543024730022	-1.58179992194768	0.988485988503182	-3.21017630828166
Q2NL26	2.15815742114537	10.1062815149992	-1.5434383645426	0.988431073123557	-2.22738026515381
A6L048	45.8884602849412	87.0970711086445	-1.54372810130347	0.988430575949841	-0.924492804638377
A5I683	2.28717019767437	9.74430561316666	-1.54475909493457	0.98842418321245	-2.09099565499632
P65241	4.06393573800112	12.3927073662833	-1.54483145143904	0.98842302338544	-1.60854190509541
P0A1C7	43.9359606477234	81.8640808693584	-1.54517826478559	0.9884174585513	-0.897828347536329
A3CMJ2	0.677880208251658	5.34676301702515	-1.54520183048419	0.98841708008583	-2.97956347918333
P22886	23.2077328489041	52.7032879885513	-1.54041239180951	0.98840915865053	-1.1832873763179
P26403	16.5522132973683	43.3740737047877	-1.5457627313184	0.988408059237554	-1.38980880639249
P27676	3.14255560046406	11.1877077806691	-1.54611506918169	0.988402380098003	-1.83190430145506
A8FNH9	71.9971216144079	114.000017116938	-1.54622682140834	0.988400576795259	-0.663022905946969
Q2YW63	0.768884835731544	3.76280901800414	-1.53986446710729	0.988397754428161	-2.29097063572928
Q39054	8.07534788536639	21.6038439531249	-1.53947379030974	0.988389641981108	-1.41969171525014
Q1WUF0	23.7669250618944	129.341665559043	-1.53908501308009	0.988381584545284	-2.44415992729636
Q65E87	3.62830363352876	11.962171745521	-1.54711054086628	0.988376065073276	-1.7211122386529
C4Z429	3.16500463854551	10.9517483157381	-1.5384361982726	0.988365476504397	-1.7908816780908
C4Z5N8	15.6368107671258	32.9184189072626	-1.54756007813387	0.988362833227853	-1.07394874857953
A0A0G2Q9F8	594.860752061931	1177.71318050523	-1.54767359492451	0.988359487433944	-0.985364329057685
O34737	0.934633669822687	7.0440220502815	-1.54786962845593	0.988353705262564	-2.91392650953018
Q97I56	5.64848664684119	17.2926020165608	-1.5374874418095	0.988337540121369	-1.61421867268714
P60750	6.47923636630471	41.2951505757751	-1.54868260275652	0.988324090289031	-2.67207667697634
O04196	6.01824034710893	16.0354027386043	-1.53685330656775	0.988318940838032	-1.41384695933026
Q1WRE4	2.35706378515616	7.94514461966001	-1.5488642749508	0.988316446884314	-1.75308267984952
