	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00048	2392.2843917241	1696.90939331743	1.40714380639414	0.992517107606891	0.495479371420867	0.00748289239310895	K00048
K00049	0.556387302964196	0.568088903162235	-0.0162727064824932	0.0451912772443532	-0.0300272249501331	0.954808722755647	K00049
K00052	519.900485824467	510.807699067327	0.0704545178336906	0.397838406470862	0.025455233361128	0.602161593529138	K00052
K00053	1120.42607555234	1022.21726344397	0.323997181482251	0.966255296082544	0.13234560337073	0.0337447039174559	K00053
K00054	0.612966524921076	0.425964993247423	0.414119101449552	0.968328310784501	0.525073416762979	0.031671689215499	K00054
K00055	0.635611092780113	1.0655023219068	-0.361648579476537	0.835407757690407	-0.745317528847526	0.164592242309593	K00055
K00057	732.899829404117	321.490331064842	3.21341975727372	1	1.1888406798694	0	K00057
K00058	310.928748210836	395.083381476221	-0.725951602783294	0.960320407791933	-0.345573149812782	0.0396795922080672	K00058
K00059	578.107000342869	435.413583490188	1.13374613031005	0.987630995380624	0.408950126538027	0.0123690046193756	K00059
K00060	85.6888688001503	132.883678364829	-1.01009525650564	0.983723694120468	-0.632984202431555	0.0162763058795323	K00060
K00063	0.768533845530583	0.453931863128294	0.530651335389531	0.955111331392625	0.759633036448958	0.0448886686073753	K00063
K00065	19.4378438885857	19.0714918710562	0.0220655414251557	0.0558310926864499	0.0274504960458343	0.94416890731355	K00065
K00066	0.585461067133212	0.430029420813208	0.372323583224597	0.969572503212377	0.445137869072941	0.0304274967876227	K00066
K00067	189.244883943088	178.53992826674	0.163516458699424	0.831459565202584	0.0840075474376451	0.168540434797416	K00067
K00068	0.563668445436342	0.54974859728916	0.0264926501776638	0.0816300273683128	0.0360747886600851	0.918369972631687	K00068
K00073	1.31015204247689	1.57738998260574	-0.151634485755744	0.545481470556665	-0.267805140317582	0.454518529443335	K00073
K00074	703.538034283783	318.336442536897	2.26034192131557	0.99991113579803	1.1440760964001	8.88642019700736e-05	K00074
K00075	736.421247877634	543.577253216845	1.23631090537423	0.989427610571481	0.438046167512775	0.0105723894285192	K00075
K00076	101.006348918357	66.5786434511436	0.604706288203498	0.952284761254831	0.60131459798679	0.0477152387451689	K00076
