	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K00790	1230.88607626884	2571.76245508223	-2.03558202717234	0.979871717286139	-1.06306015155292
K00878	61.8417385807423	290.901058259466	-2.02137465229072	0.979310601794387	-2.23387576079113
K13727	0.482479035084348	4.14549744552521	-1.63547362524019	0.979287368320229	-3.10300707041996
K07444	182.847820013966	607.125294122982	-2.02966278637194	0.979080841495652	-1.73135085378036
K06173	499.395634181155	955.867272361055	-1.63736375797381	0.978588370101678	-0.936627096667467
K03437	83.6011769401147	444.745904980659	-2.44062441136064	0.978205691366979	-2.41138616399958
K14652	1226.47757823484	2120.73751361165	-1.69644899139877	0.978045329380251	-0.790045208105048
K06958	641.368454652823	1544.36593511944	-1.63902461679435	0.977926276941509	-1.26778933497851
K01823	178.441995905156	860.356684579703	-1.69084804304762	0.9778928440352	-2.26947970271549
K03606	346.14220061226	648.41375153943	-1.69834308762665	0.977890650962981	-0.905549846562401
K01839	771.046370517869	3008.37620637819	-1.70034035711096	0.977622580426585	-1.9640954604489
K00689	105.292815616011	385.806699419354	-1.76385777555996	0.976436077814191	-1.87347119443491
K00925	2571.94386599648	4011.66738029332	-1.60984692979764	0.975893675418045	-0.641342837171552
K24949	238.737540751213	685.905299859993	-1.6814755996876	0.975870444464849	-1.52258395948282
K02897	346.123239995759	611.915946984065	-1.60946990580058	0.975654947953043	-0.82204768472512
K16899	35.0515647663253	153.153893656742	-1.70911796095982	0.975409395675818	-2.12743128993101
K02887	855.553316663028	1345.54404534786	-1.64508062685464	0.975364092575548	-0.653259948272299
K01819	18.2279374742415	472.279244865843	-1.95746546958527	0.975095831889779	-4.6954169030951
K06889	466.815101987434	2043.31641893012	-1.75785314175754	0.975016338328354	-2.12998949103382
K03702	922.977892132901	1907.5642935575	-1.79923382458863	0.975002626058397	-1.04736368636643
K01414	868.305242178203	1624.11655559571	-1.71168966908019	0.974590101504607	-0.903380973128734
K02041	312.580650155689	1086.34662907449	-1.60750228808166	0.974350132506126	-1.79718413022983
K00691	8.00669812560433	69.6652705984925	-1.67626493658736	0.974256717761527	-3.12116030685312
K01791	235.185076412513	651.526205985398	-1.95518563430945	0.97418674716637	-1.47002669133602
K01805	312.209511989553	2672.46090453762	-1.75310203971564	0.973886276835681	-3.09758244566059
K02348	0.668820937327555	10.2187259928274	-1.8099939830624	0.97348202340931	-3.93345151956821
K03292	175.680250464362	1890.95461496858	-1.81208658931095	0.97335929125614	-3.42809081600849
K02469	2306.64803688807	4119.01351966248	-1.67328405044638	0.973357871101882	-0.836500976333864
