	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00192	0.561962215095768	0.433319949986201	0.285833579060256	0.936544559205	0.375040470972449	0.0634554407949997	K00192
K00193	262.821626111775	140.73032318518	1.18931842130232	0.952164653388856	0.901150771996185	0.0478353466111435	K00193
K00194	3.93528491598011	3.08818990226761	0.214940873341047	0.853529316833582	0.349706620054625	0.146470683166418	K00194
K00196	9.01609797843689	9.05754995920757	-0.0039992561045582	0.00312885188687539	-0.00661766480752044	0.996871148113125	K00196
K00197	251.234599690709	195.510457548242	0.459255028803163	0.923159750446882	0.361789386834969	0.0768402495531177	K00197
K00198	1307.6990304018	722.261691292357	1.96507438012541	0.99404000367024	0.856436982753841	0.00595999632975963	K00198
K00205	0.582440846511793	0.433264819029661	0.325041772671181	0.949433302109246	0.426862440156199	0.0505666978907542	K00205
K00207	1.52018227257307	1.96844795174906	-0.203761876799302	0.363057964377667	-0.372814250566058	0.636942035622333	K00207
K00208	77.9952321586362	164.240863179461	-1.11062916393525	0.952048703226452	-1.07435527479688	0.0479512967735481	K00208
K00209	15.3437217752853	17.6894864393433	-0.125637800359042	0.136568611306382	-0.205243698757788	0.863431388693618	K00209
K00211	0.582440846511793	0.43866457787597	0.313582999162976	0.94696673855782	0.408993321557727	0.0530332614421798	K00211
K00215	471.781815801195	557.998636895909	-0.56284554435469	0.836319698532739	-0.24214178487954	0.163680301467261	K00215
K00219	2.53914149165571	1.28750746306104	0.510398613381729	0.90561629775005	0.979759995339168	0.09438370224995	K00219
K00220	1.21527534153074	0.959741153973316	0.203003802368576	0.821116126422385	0.340565955453537	0.178883873577615	K00220
K00222	0.574866529600831	0.447916915497657	0.266708495630713	0.924634443745285	0.359995884972786	0.0753655562547149	K00222
K00223	0.660490809415643	0.415358305589338	0.493948467730874	0.911380981112482	0.66918208368903	0.0886190188875178	K00223
K00226	10.4611152884702	0.464454092494851	1.90879404249328	0.992849390540669	4.49335685427526	0.00715060945933121	K00226
K00227	0.90988974224738	1.19677470937146	-0.176087183725622	0.236867324410679	-0.395387953674514	0.763132675589321	K00227
K00228	0.698452870262851	0.416171753921423	0.506890234777484	0.906810813280946	0.746983718760252	0.0931891867190542	K00228
K00230	0.621623687847606	0.601365724263433	0.0304056401340443	0.0196997283753996	0.04779883902385	0.9803002716246	K00230
K00231	3.66484498604894	0.564297492730064	1.11946153098278	0.945661651811474	2.69922433261989	0.0543383481885262	K00231
K00232	0.639508394270759	0.568649432530242	0.105155387028546	0.299756487471891	0.169423778706557	0.700243512528109	K00232
K00233	39.2426780563163	135.555963852316	-1.53055802655813	0.973425013351255	-1.78839318212307	0.026574986648745	K00233
K00234	11.381504558027	18.5765054048514	-0.461745270795576	0.774552034384766	-0.70678784398687	0.225447965615234	K00234
K00235	0.707999132576879	0.49580870094357	0.306566338329194	0.944972717960853	0.513964003262489	0.0550272820391472	K00235
K00236	0.594742774961115	0.622086375201271	-0.0361770198151672	0.0326634295326023	-0.064849068364177	0.967336570467398	K00236
K00237	0.735960678534361	0.554496154338786	0.235357632915448	0.891605291146885	0.408451232203761	0.108394708853115	K00237
K00239	1349.31058120642	1284.31185005965	0.174300377317629	0.704280795672919	0.0712269098807638	0.295719204327081	K00239
K00240	36.0090713331606	70.5670749537006	-0.819405840706033	0.918765553791946	-0.970634817494148	0.0812344462080538	K00240
K00241	30.6646685229658	14.8667138478595	0.692004755562974	0.902138357543879	1.04449156792032	0.0978616424561207	K00241
K00243	128.553141221316	59.2387399506613	0.961662375234635	0.910075772837799	1.11775200420419	0.0899242271622013	K00243
K00244	6.54278404293629	6.30525911716428	0.0305607295708325	0.0199933203083807	0.0533489926789546	0.980006679691619	K00244
K00245	20.4019272757736	13.7652509718342	0.349478186666434	0.951789631935487	0.5676745295815	0.0482103680645133	K00245
K00246	0.66965573350287	0.447925614690149	0.389583513886863	0.948471826872877	0.580160434931382	0.0515281731271231	K00246
K00247	1.10960026445302	0.933191618673935	0.127529697471808	0.426796233847517	0.249794781478991	0.573203766152483	K00247
K00248	703.397181888849	675.314751682443	0.0762366126151808	0.166972833631461	0.0587794826024587	0.833027166368539	K00248
K00249	2.39310191877717	4.93137952435769	-0.526530928233373	0.818294495397956	-1.04310944800219	0.181705504602044	K00249
K00251	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404	0.0484985421961783	K00251
K00253	0.582440846511793	0.436762688766861	0.317787373352491	0.94798132878014	0.415261918407433	0.0520186712198598	K00253
K00254	21.3368236754849	34.8371597597962	-0.528720238520161	0.819874634901169	-0.707281583074357	0.180125365098831	K00254
K00255	1.94695237166135	3.47860918732375	-0.471061603409793	0.781323879490678	-0.837293013224628	0.218676120509322	K00255
K00259	99.8021380213087	119.603805853265	-0.266613284307016	0.592551571337168	-0.261120670262939	0.407448428662832	K00259
K00260	3.42318361847454	0.604369312669178	0.985514216662031	0.91397850784866	2.50183636663288	0.0860214921513401	K00260
K00261	0.593889646064437	0.697858996655393	-0.139471980314334	0.155790175843736	-0.23274068666904	0.844209824156264	K00261
K00262	3117.26381611141	1396.1471217532	1.89831298957686	0.993083296204843	1.15882927998152	0.00691670379515674	K00262
K00264	87.7254089714297	72.4130651601125	0.236654313982917	0.893452541648601	0.276744748714169	0.106547458351399	K00264
K00265	349.097203660491	128.05417508403	1.73391990504705	0.98523872276569	1.44687450926103	0.0147612772343103	K00265
K00266	188.925911776737	111.189169575831	0.480717935365308	0.915902128079815	0.764804316776088	0.0840978719201848	K00266
K00275	0.54349776072492	0.58711990699356	-0.0667092448029141	0.0657908545165122	-0.111381082603117	0.934209145483488	K00275
K00276	0.588117376523268	0.468082561290657	0.248017971309617	0.907593885555547	0.329341099472426	0.0924061144444535	K00276
K00278	593.253917297943	709.806369768455	-0.541537365521009	0.828105640868478	-0.258775799464366	0.171894359131522	K00278
K00281	56.4429555179071	160.600287617582	-1.4182519821873	0.963620111015661	-1.50860903781758	0.0363798889843387	K00281
K00282	26.0168152261526	38.9153076474282	-0.396860164996869	0.730328797105946	-0.580893392998574	0.269671202894054	K00282
K00283	94.43049933683	213.014862479101	-1.25711890169149	0.954534794971526	-1.17362928945273	0.0454652050284743	K00283
K00284	9.70829908597953	9.11760442663296	0.0558824384626271	0.0926934466364424	0.0905637363668421	0.907306553363558	K00284
K00285	0.851202270703312	0.528734498364231	0.376907720746348	0.950556921518762	0.686958538058924	0.0494430784812381	K00285
K00286	335.60078155891	316.29137068771	0.1447354172057	0.533076188952077	0.0854918799399109	0.466923811047923	K00286
K00287	45.1893133535118	63.6769887410056	-0.384555725230484	0.721357402302154	-0.49479047744275	0.278642597697846	K00287
K00288	0.746432353641797	1.48899896399315	-0.517228171835575	0.81140587627852	-0.99625932476211	0.18859412372148	K00288
K00290	0.603046697554021	0.447206827417819	0.329300928356079	0.950114156920465	0.43132750936796	0.0498858430795348	K00290
K00293	0.57016134630804	0.494723703967341	0.144063070373902	0.528869542567958	0.204747210295143	0.471130457432042	K00293
K00294	14.0977005271263	21.9725685757927	-0.428362639130766	0.751759706098775	-0.640243665384201	0.248240293901225	K00294
K00295	0.577735663219002	0.442942006917886	0.29088488674706	0.938979440445456	0.383291730618814	0.0610205595545443	K00295
K00297	193.96973533375	120.5037201941	0.934598236689428	0.912334621437527	0.686753883411127	0.0876653785624733	K00297
K00298	0.649933323783989	0.520198775366302	0.196880730357777	0.800948102503536	0.321228717690177	0.199051897496464	K00298
K00306	0.612233160357647	0.432410000233924	0.37144649567061	0.951118598874591	0.501681299316572	0.0488814011254094	K00306
K00311	0.582440846511793	0.453371662947226	0.27788173525372	0.932145916382382	0.361417313883382	0.067854083617618	K00311
K00313	96.2718484233381	24.5226593003218	1.05358481263227	0.935006846057368	1.97299855333179	0.0649931539426318	K00313
