	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
Q9P7W2	0.769073074176451	2.35189042255515	-0.88743356116755	0.97106387805349	-1.61262825602583
Q9SZR1	44.9846341418531	67.7307404412233	-0.8874235720052	0.971063200622532	-0.590378477975558
Q2UEL0	1.39823118120391	3.02811029020034	-0.887373161702976	0.971059782061897	-1.11481483907548
A6VML2	1.08821060482891	2.94897243789298	-0.887369821758522	0.971059555570053	-1.43825454561121
B4EUF0	2.85482268598188	5.62964024504461	-0.88707664580089	0.971039677104378	-0.97964158958487
Q03SM6	0.990265315748317	2.34133416103135	-0.886989906643828	0.97103379687391	-1.24144383958647
Q9KAC3	3.59246980022526	6.80799819765627	-0.886844048733078	0.971023909908664	-0.922254626238759
Q8XHQ7	53.3662244703964	76.6850457239488	-0.886692512696688	0.97101363944707	-0.523018318804296
P94547	1.45816792141098	3.59229842045062	-0.886578596836523	0.971005919655205	-1.30075033423726
P10901	11.760578445931	18.5274570017428	-0.886481981184897	0.970999372884404	-0.655705855794204
Q9PKA8	14.7188970977048	23.4778638848136	-0.88647179568851	0.970998682738889	-0.673631579130441
O16580	3.90220387361293	7.65414392873337	-0.886444481438314	0.97099683202059	-0.971951875121736
Q2KIM0	6.54904381884939	12.5619883627252	-0.88639773935069	0.970993665046891	-0.939708648865531
C4ZBT9	38.1499380151064	48.6197686239972	-0.886096549473057	0.97097081951777	-0.349862314746395
O33945	5.27661583371439	10.1843084507921	-0.886074895674927	0.970969007001619	-0.948663163291928
I6Y8I5	3.22310319320378	6.39665834727145	-0.885836394449893	0.970949045523918	-0.988868049848653
A4J7L6	6.40809706280227	10.72664670326	-0.885568625922668	0.97092663909621	-0.743231234955408
P45103	0.741046052918192	1.68372215900905	-0.885530059344301	0.970923412308729	-1.18401898246652
Q8RIQ3	4.68183058159083	9.65010011998189	-0.885505119661914	0.970921325709651	-1.04347118093664
Q890X8	0.927821454707498	2.23533296169753	-0.885321683234801	0.970905979643801	-1.26857063035542
Q8TQD0	0.955963724308531	2.20103701023304	-0.885195304716508	0.970895408297713	-1.20315562540963
Q1LRD0	2.18026907850829	5.62002385946931	-0.885077888016057	0.970885587561063	-1.36607005873755
Q01465	209.248073346318	313.863176230463	-0.885066997380011	0.970884676715194	-0.584921436491086
Q3IKE8	0.798288562849654	2.30945524851817	-0.884668726048808	0.97085137253043	-1.53257034390324
Q13XC9	1.58580534002402	4.63792574331158	-0.88466213468293	0.970850821438502	-1.54826403259597
O31951	0.791972677520442	2.14367483701329	-0.884523754338554	0.970839252391915	-1.43656352306671
Q05599	1.29769475674504	2.71177927775022	-0.884514754169513	0.970838499993384	-1.06328868362271
A1A195	1.1865409636334	3.34547508513332	-0.884350742641117	0.970824789873371	-1.49544919166476
B1YG43	4.29897954747661	8.89704741532426	-0.884258492984136	0.970817079300848	-1.04933239434972
Q8EPB9	1.30990150402154	3.11330029087389	-0.883894046251559	0.970785416901356	-1.24898640284561
A6LEI0	3.41199831831289	6.98702865745255	-0.88386058169673	0.97078213448632	-1.03406212193897
P37107	1.68979520503531	3.68887132673851	-0.883639796167355	0.970760480470822	-1.12633105710788
Q04446	0.907453428155991	2.27041384539566	-0.883553875780382	0.970752054594458	-1.32305978346364
A6LEH3	4.4454527622697	8.40651670110552	-0.883425870988745	0.970739502652448	-0.919177770805852
Q84MD8	0.725395295318564	1.95598649352683	-0.883352639183805	0.970732322191877	-1.43105711463682
Q6GHI3	1.24463806000791	3.06350466371542	-0.883295160304993	0.970726686594215	-1.29945677915867
Q5HHB1	1.908641836696	4.17261324622506	-0.882898519378126	0.970687803867686	-1.1284048040028
P0DC86	1.30535123527917	2.93115435777715	-0.882893052813787	0.970687268059369	-1.16703089404557
A5CPD5	0.867207625902973	2.28372743931537	-0.882855163880087	0.970683554413839	-1.39694112831575
A1K5Y3	0.571419230538602	1.52789958911056	-0.882765200552381	0.970674737163629	-1.41892824044115
B7LQ20	6.58166285417333	12.4744714554912	-0.882645579078367	0.970663014039994	-0.922454658353251
O87691	3.156039021756	5.92567920808345	-0.882626788208737	0.97066117259403	-0.908865483666523
Q9CKR3	1.00468656664471	3.95274110357578	-0.882466577280733	0.970645473461268	-1.97610797251435
A9KHK4	9.9005501265295	15.5660362432046	-0.88240540317889	0.970639479474373	-0.652821025100207
Q184E7	5.12598391074279	8.89536596353478	-0.882303919750734	0.970629536476337	-0.795225010157534
Q58746	0.909162940847441	2.05048259826236	-0.882158598028301	0.970615299644089	-1.17335271649724
A0PXZ6	1.67982790774238	3.60979418665216	-0.88207833034429	0.970607436657088	-1.10360314211081
Q9ZJ10	2.84045609542654	5.90416224335836	-0.881990762974853	0.970598859125177	-1.05560976286907
Q9LUW6	0.815845305720662	2.69311119520084	-0.881889889973861	0.970588978944053	-1.72290626758658
Q4L7G4	3.09070050548193	6.07209385829952	-0.881727114809485	0.970573037192649	-0.974260229937624
Q8KA65	0.567102145608687	1.51415864916732	-0.881613264694296	0.970560564397037	-1.41683585485507
P32729	2.77303263318814	5.30147638336623	-0.881536966283707	0.970551988154932	-0.934929590839571
P44956	2.28261031125053	5.22202985277579	-0.881513642494616	0.97054936655714	-1.19392612240042
A5I7L4	1.34966409072985	2.87333612121291	-0.881465990156932	0.970544010554567	-1.09012637957906
A5N6S3	5.41630682543356	9.38796854131396	-0.881314401112972	0.970526973472596	-0.79350353978075
Q5L923	7.07597225523574	12.2048449793949	-0.881240712266332	0.970518692217175	-0.786453674383847
A0A0E2IV13	1.97031904597069	3.72569363680982	-0.881194001281993	0.970513442984598	-0.919079788075332
A6L4C4	1.6347822631419	3.81698389289648	-0.881021341477481	0.970494041456815	-1.22333460282595
A6LEH7	4.37422719936423	8.66378469343103	-0.880532802143932	0.970439157243379	-0.985969233928415
Q1AW08	1.80729987715787	3.8945905500296	-0.880432705266098	0.970427914241357	-1.10763575543032
P37958	1.35778914275689	2.81671022488204	-0.880378296462406	0.970421803297085	-1.05275169668246
