	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K02007	91.4956733829464	67.2115318899536	0.390303447128069	0.584049969592549	0.444994737149773	0.415950030407451	K02007
K02008	3.91964697342247	2.33032504010577	0.399383722674321	0.58738091001132	0.750192522585268	0.41261908998868	K02008
K02009	2.91961263245297	1.82929193633154	0.314159868019377	0.544501638282251	0.674491635442398	0.455498361717749	K02009
K02010	204.771266430229	53.3221080940027	1.73984885780349	0.96821395049896	1.94120756637286	0.0317860495010397	K02010
K02011	12.4676035006129	4.78376586392305	0.834645616073445	0.827100675869111	1.38196549439924	0.172899324130889	K02011
K02012	28.5015814810646	7.0707441156238	1.25018060520599	0.914913451344191	2.01110801758997	0.0850865486558089	K02012
K02013	16.1283382445276	18.89781682354	-0.154219406105053	0.526222353491948	-0.228621775697855	0.473777646508052	K02013
K02014	122.339079733829	44.7734211909578	1.29111165900925	0.930233295741352	1.45017086327514	0.0697667042586478	K02014
K02015	12.9772261624406	17.0063353506478	-0.229784520761557	0.28718191380832	-0.390090246852761	0.71281808619168	K02015
K02016	7.53934211209897	7.10990370176851	0.0525110572237224	0.000913701939177836	0.0846086187064675	0.999086298060822	K02016
K02017	1.98230548660585	1.69864829076645	0.118355620243982	0.173806285152109	0.222792138716905	0.826193714847891	K02017
K02018	5.04617782440376	5.6588417346049	-0.0985351987734956	0.598651821829548	-0.165315742014672	0.401348178170452	K02018
K02019	0.540965016948463	0.594816312631442	-0.0924375468109497	0.59830032656753	-0.136908912281384	0.40169967343247	K02019
K02020	15.8490345785697	19.8746349506288	-0.21243342912811	0.322054344405127	-0.326533398471195	0.677945655594873	K02020
K02024	1.96079993367535	29.3262292596094	-1.51035211270564	0.936592539902277	-3.9026773369481	0.0634074600977226	K02024
K02025	16.6751941145502	20.8246785435138	-0.200157538612127	0.355359670104948	-0.32059067005375	0.644640329895052	K02025
K02026	6.35246135794886	4.2214589425883	0.278411751223651	0.51399633047632	0.589574011688773	0.48600366952368	K02026
K02027	172.81138080728	140.832164020728	0.361883038838866	0.577921785941112	0.295221369732597	0.422078214058888	K02027
K02028	88.3006774336076	300.420110014644	-1.3287947910868	0.885136046468288	-1.76648497833928	0.114863953531712	K02028
K02029	54.2615901742845	58.002375220513	-0.0799444669266047	0.592181288163144	-0.0961806529520292	0.407818711836856	K02029
K02030	4.7763640517016	18.2103290279591	-0.891389261800613	0.782097660683317	-1.9307722821735	0.217902339316683	K02030
K02031	231.423024587607	170.571390263344	0.561349997935258	0.737305561351485	0.440156721831643	0.262694438648515	K02031
K02032	515.217995672439	370.782264022211	0.771425925446936	0.824778888709536	0.474610749351064	0.175221111290464	K02032
K02033	835.053501486898	596.004479831223	1.05109456357408	0.900174919032001	0.486545458686495	0.0998250809679989	K02033
K02034	120.287018542613	73.4239605957638	0.694303106831488	0.785101431723959	0.712158111549916	0.214898568276041	K02034
K02035	151.64760911627	456.881745517672	-1.45273817979807	0.896290080605283	-1.59109804899708	0.103709919394717	K02035
K02036	913.153671445167	760.966612082566	0.489174278866272	0.687287111957482	0.263024510844465	0.312712888042518	K02036
K02037	47.315082189018	24.245649583618	0.547887255404434	0.731847739125217	0.964574224774518	0.268152260874783	K02037
K02038	71.9763277857402	88.3124360363736	-0.195165399755963	0.37193208812682	-0.295094112320697	0.62806791187318	K02038
K02039	33.0032704914538	42.9710621672577	-0.301980333301565	0.25771636626044	-0.38075644154039	0.74228363373956	K02039
K02040	322.352371748535	332.991136857694	-0.0767221137181029	0.589095379107021	-0.0468451796143443	0.410904620892979	K02040
K02041	312.580650155689	1086.34662907449	-1.60750228808166	0.974350132506126	-1.79718413022983	0.0256498674938742	K02041
K02042	1.39126193235445	0.626343425628627	0.569133674922085	0.740859627149892	1.15136824867424	0.259140372850108	K02042
K02043	0.525313674173901	0.524720368861749	0.00114772699048749	0.242445467312766	0.0016303447080489	0.757554532687234	K02043
K02044	0.886968226147816	3.81743377361865	-0.861189347479361	0.7595329240596	-2.10564879986615	0.2404670759404	K02044
K02045	3.81655065514868	3.57199987895443	0.0538315143540355	0.000400322826408117	0.0955373080488458	0.999599677173592	K02045
K02047	0.516026257950907	0.527284061296591	-0.020936740465163	0.404372873863824	-0.0311359087713282	0.595627126136176	K02047
K02049	33.8580733069599	29.5835549601142	0.141848995868287	0.268666577442985	0.19470445218359	0.731333422557015	K02049
K02050	10.1482295007348	7.28374333921154	0.294084251797924	0.527923514782399	0.478476059842208	0.472076485217601	K02050
K02051	45.920242105693	31.2722497374398	0.435524815804942	0.624560779870376	0.554247237345567	0.375439220129624	K02051
K02053	0.749127355157826	0.547057090056937	0.223142109080691	0.44145622937809	0.453519606082461	0.55854377062191	K02053
K02055	0.491955994972501	0.544784369205364	-0.105251622762516	0.597699504657987	-0.147156037013677	0.402300495342013	K02055
K02062	10.8392289663409	9.89377688365365	0.0701145884709315	0.00784312647091434	0.131668865712163	0.992156873529086	K02062
K02063	0.627692604499807	0.582974320439929	0.0641968122499529	0.00252798904351981	0.106625875884471	0.99747201095648	K02063
K02064	1.54509490022354	1.34595515652853	0.0943895524229963	0.0677981373696528	0.199065107468044	0.932201862630347	K02064
K02065	73.1714919991188	36.8642890071843	0.789627204924479	0.827148832067989	0.989057744025512	0.172851167932011	K02065
K02066	16.2389569823685	26.0183407525407	-0.392286859595175	0.341138750935157	-0.680069988981776	0.658861249064843	K02066
