	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K13018	2.11870198087165	2.39588719519272	-0.108389702137068	0.0302414090441072	-0.177379312977469	0.969758590955893	K13018
K13019	6.39459941013898	6.55039738089549	-0.01904737213187	0.331351960419783	-0.0347284463623115	0.668648039580217	K13019
K13024	0.751487287596847	0.51765568581799	0.266103914914027	0.661614052967897	0.53775587841832	0.338385947032103	K13024
K13025	0.607739739805618	0.650527951401635	-0.0544565496971	0.102193895237061	-0.0981574148297863	0.897806104762939	K13025
K13026	0.518395767809596	0.498768765105805	0.0425453122445183	0.625644515837912	0.0556828194229002	0.374355484162088	K13026
K13034	0.518777875196138	0.476983638682294	0.0911559333277565	0.701803140793718	0.121177172656981	0.298196859206282	K13034
K13037	6.94045216754136	5.89358563292498	0.143614118665022	0.690855916685346	0.235884026025919	0.309144083314654	K13037
K13038	551.881463155258	304.216213782961	1.55476266292559	0.962962960520438	0.859261382154875	0.0370370394795619	K13038
K13040	1.03763798104234	1.38495973830006	-0.179600443437046	0.257985241519624	-0.4165408436178	0.742014758480376	K13040
K13041	0.534051650549945	0.493340213427884	0.0880542565312711	0.6994266108916	0.114396388317673	0.3005733891084	K13041
K13043	181.965535515554	249.042007849681	-0.703463335294631	0.630358277172991	-0.452723885221262	0.369641722827009	K13043
K13048	155.717596425459	218.326400826676	-0.587672297954102	0.674815320123889	-0.487554615545562	0.325184679876111	K13048
K13049	24.2558636631412	24.1136639439797	0.00713439385229038	0.489496864523234	0.00848267208000919	0.510503135476766	K13049
K13051	14.6871588237516	7.94141667330505	0.459273419814678	0.658678905699845	0.887087040363357	0.341321094300155	K13051
K13052	0.513610732562295	0.476983638682294	0.0798518731258043	0.691938642365968	0.106735569475203	0.308061357634032	K13052
K13057	0.671361645909451	0.481577088297138	0.246748542138116	0.660472075896242	0.479323364443723	0.339527924103758	K13057
K13058	0.56810278267189	0.461837760740809	0.196834445486734	0.656060965731599	0.298765834135338	0.343939034268401	K13058
K13059	223.352286189809	218.621289486656	0.052792739227502	0.651062057503366	0.0308871234037905	0.348937942496634	K13059
K13067	0.518777875196138	0.488516271200411	0.0666213509355301	0.67580286282246	0.0867103375449967	0.32419713717754	K13067
K13069	2.26958363605849	2.05717939141655	0.0761412522863888	0.687966106665638	0.141760047651804	0.312033893334362	K13069
K13070	0.516429126188007	0.493340213427884	0.0508941449638342	0.646841502329085	0.0659874798777796	0.353158497670915	K13070
K13072	0.518777875196138	0.476983638682294	0.0911559333277565	0.701803140793718	0.121177172656981	0.298196859206282	K13072
K13075	5.86574429502585	3.40234595679065	0.35813994208291	0.659874265814828	0.785784336819762	0.340125734185172	K13075
K13091	0.518777875196138	0.499592769757067	0.0418468180238494	0.623674549717577	0.0543643549201898	0.376325450282423	K13091
K13095	0.518777875196138	0.487868741318589	0.0680456388715861	0.677833499399528	0.0886239029404356	0.322166500600472	K13095
K13103	0.521926267875372	0.493340213427884	0.0606149024139662	0.666261888481738	0.0812631228611681	0.333738111518262	K13103
K13116	0.518777875196138	0.506807390521805	0.0254832267425644	0.569317672238676	0.0336793901995261	0.430682327761324	K13116
K13126	1.2237596735231	1.08900401847875	0.0754327815536495	0.687163824497446	0.168310986347284	0.312836175502554	K13126
K13148	0.518777875196138	0.549505825014228	-0.0569715231318559	0.0887080685629315	-0.0830178215451668	0.911291931437069	K13148
K13179	0.765868400345725	0.498523124342165	0.322108223387588	0.662669624457906	0.619436087650409	0.337330375542094	K13179
K13181	0.529792140146632	0.511825397700711	0.0332889435223247	0.59716306646406	0.0497747021442152	0.40283693353594	K13181
K13183	1.20125951427066	0.605909974860254	0.485392808164759	0.668268526977415	0.987372496143331	0.331731473022585	K13183
