	T1_LoCHO_PROT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K00228	0.634067819354966	0.643711597281037	-0.012593253229123	0.674263278077086	-0.0217773030102511	0.325736721922914	K00228
K00230	0.564320934159224	0.598003063540218	-0.0498948515230698	0.641188289626706	-0.0836370062268678	0.358811710373294	K00230
K00231	3.32701083711421	1.24214795408927	0.533063146293451	0.820143329513073	1.42138954019287	0.179856670486927	K00231
K00232	0.580556985701635	0.561880458558895	0.027627609241846	0.820129441194229	0.0471744583872209	0.179870558805771	K00232
K00233	35.6251944264376	44.8404122046841	-0.226753207847349	0.786361870162313	-0.331901652701363	0.213638129837687	K00233
K00234	10.332330330851	9.84877390644905	0.039341326968493	0.84838423436887	0.0691496362682355	0.15161576563113	K00234
K00235	0.642734084447654	0.619618969796646	0.0275916991856213	0.820026202864308	0.0528406678137045	0.179973797135692	K00235
K00236	0.539917967914997	0.808815142041022	-0.296498304575236	0.806449653989137	-0.58306977757299	0.193550346010863	K00236
K00237	0.668118068429826	0.726810605701887	-0.0611771689201308	0.654335920105624	-0.121476396409539	0.345664079894376	K00237
K00239	1224.92791465824	1131.41710137963	0.255390817547465	0.820405076493726	0.11456596847733	0.179594923506274	K00239
K00240	32.6896692809381	33.2387414149154	-0.0161290427883151	0.663365675409945	-0.0240309739528622	0.336634324590055	K00240
K00241	27.8379262644916	28.1815175698801	-0.0115351256070049	0.677760829200501	-0.0176975583640679	0.322239170799499	K00241
K00243	116.702806153199	85.1473867117165	0.360817708533566	0.813787335739149	0.454805094050823	0.186212664260851	K00243
K00244	5.93965460984338	4.81905067967132	0.139284231941483	0.859992574829449	0.301630067635375	0.140007425170551	K00244
K00245	18.521228975006	28.1440565147184	-0.333814721427999	0.802331739469316	-0.603650453216741	0.197668260530684	K00245
K00246	0.607925271322775	0.525759090794041	0.131075856186097	0.86587163965388	0.209492102032951	0.13412836034612	K00246
K00247	1.00731466644649	1.0264917249956	-0.0126032569523586	0.674230533648836	-0.0272075723274155	0.325769466351164	K00247
K00248	638.556352546516	492.12098650131	0.453668360098749	0.821193989212535	0.375800901751662	0.178806010787465	K00248
K00249	2.17250007801125	4.31291453227666	-0.453879954804515	0.812665018381848	-0.989306898059521	0.187334981618152	K00249
K00252	0.528750060561725	0.506425143104434	0.0432358147333518	0.855384383072267	0.0622368896972203	0.144615616927733	K00252
K00253	0.528750060561725	0.489759496366147	0.0766999238178643	0.880559217623845	0.110512457062045	0.119440782376155	K00253
K00254	19.3699443955105	25.7373683339428	-0.272765465729659	0.803395815668036	-0.41004473194002	0.196604184331964	K00254
K00255	1.76747765990669	1.36553125434742	0.196704235266041	0.824640441507357	0.372229645200334	0.175359558492643	K00255
K00259	90.6021389794271	73.8739825481909	0.255421389330486	0.820404868215953	0.294478755048391	0.179595131784047	K00259
K00260	3.10762639059805	0.863727833010675	0.704163699414769	0.827059489684507	1.84716438317354	0.172940510315493	K00260
K00261	0.539143482474137	0.517615018717287	0.0407040411980351	0.850961886946177	0.0587897910323327	0.149038113053823	K00261
K00262	2829.90700502391	1646.90614621775	1.20115001207189	0.90827038495226	0.780996303525608	0.0917296150477397	K00262
K00264	79.6386716080126	79.84948058172	-0.00349403416044644	0.706926449968024	-0.00381386621997316	0.293073550031976	K00264
K00265	316.916591071667	203.458941004381	0.783588744381869	0.870398966263724	0.639365507957758	0.129601033736276	K00265
K00266	171.510270771516	75.4781553432681	0.665314013944065	0.831308727301264	1.18416390418263	0.168691272698736	K00266
K00275	0.493396841275013	0.988001948143321	-0.450441253542787	0.811677030216035	-1.00176540698181	0.188322969783965	K00275
K00276	0.533903314502144	0.494978393271389	0.0758639932157737	0.88040577408298	0.109212955121483	0.11959422591702	K00276
K00278	538.566356701112	527.201741644854	0.0594495709794613	0.873674611931955	0.030768973627325	0.126325388068045	K00278
K00281	51.2399093008527	61.0025973875161	-0.200343000915126	0.778431635586378	-0.251602749515637	0.221568364413622	K00281
K00282	23.6185231664944	22.5254792587847	0.0424295212255905	0.854028245181908	0.0683609562613454	0.145971754818092	K00282
K00283	85.7256707565269	125.573987325748	-0.479682012701606	0.817548298591615	-0.55073844802173	0.182451701408385	K00283
K00284	8.81336492865474	7.19415201943714	0.172001866806827	0.837595447727519	0.292868297639557	0.162404552272481	K00284
K00285	0.772736415861145	0.532733747879097	0.306191340728211	0.8179720171304	0.536561711438847	0.1820279828696	K00285
K00286	304.664301339043	298.875443874923	0.0457358863010636	0.859281133768101	0.0276760963713533	0.140718866231899	K00286
K00287	41.0236547033251	60.5421923668151	-0.414199389412458	0.799752240438539	-0.561484895356592	0.200247759561461	K00287
K00288	0.677624439558155	1.39279103273805	-0.419849171887978	0.801726997477149	-1.03942100585414	0.198273002522851	K00288
K00290	0.547456415124176	0.508497817357618	0.0740021682029059	0.88001208674425	0.106502529836561	0.11998791325575	K00290
K00293	0.51760251396487	0.537942090742301	-0.0365505326986526	0.632820811015712	-0.0556062511461342	0.367179188984288	K00293
K00294	12.7981408792698	11.3937922636404	0.0987396900324564	0.880543962866605	0.167686244741341	0.119456037133395	K00294
K00295	0.524478612283471	0.489759496366147	0.0684569929122341	0.878355424954772	0.0988104759189128	0.121644575045228	K00295
K00297	176.089142647013	156.108546098264	0.205728712724832	0.822189630806219	0.173756438596678	0.177810369193781	K00297
K00298	0.590020920356088	0.509657817718481	0.141448796048389	0.858432387272976	0.211237156731911	0.141567612727024	K00298
K00306	0.555796047883203	0.457722659092949	0.188623660586348	0.827923337915911	0.280081863105466	0.172076662084089	K00306
K00313	87.3972798938966	111.065907140862	-0.225582788824899	0.785964091806831	-0.345755750255309	0.214035908193169	K00313
K00315	0.528750060561725	0.480935320751948	0.0948163440835273	0.881070387362399	0.136743039261202	0.118929612637601	K00315
K00318	0.528750060561725	0.533925906443171	-0.00957087756470258	0.68450030231787	-0.0140536277566287	0.31549969768213	K00318
K00320	0.515198086671824	0.494978393271389	0.0406594221554362	0.85087978884646	0.0577616853805651	0.14912021115354	K00320
K00322	2.96513011576601	0.886652209256488	0.829446452046628	0.868855250056742	1.74165519330209	0.131144749943258	K00322
K00324	10.2192389120578	17.2026034381982	-0.460858536133408	0.814526547098473	-0.751339164464914	0.185473452901527	K00324
K00325	7.20856024721208	12.2565818496464	-0.39435708757126	0.793766405328009	-0.765773645769692	0.206233594671991	K00325
K00326	1.19531442154029	1.46907541027737	-0.105694606858331	0.673974587857898	-0.297518292006517	0.326025412142102	K00326
K00327	0.563304531595432	0.524362571164425	0.0651025576171172	0.876940367038699	0.103350367504272	0.123059632961301	K00327
K00330	18.3040046915427	18.6448751986906	-0.010805012044918	0.680225290966283	-0.0266198133128934	0.319774709033717	K00330
K00331	44.8581580027025	55.0092882092601	-0.220276728930105	0.784232793459845	-0.294304854722595	0.215767206540155	K00331
K00333	0.603460860358594	0.498832548194262	0.181069660170903	0.831928822129491	0.274704600528969	0.168071177870509	K00333
K00334	0.517967448674617	0.519917495964418	-0.00326400412501368	0.707801098479286	-0.00542126924474414	0.292198901520714	K00334
K00335	0.888090396135801	0.611305096702781	0.269926872314031	0.82021818778684	0.53881393628075	0.17978181221316	K00335
K00336	25.7651113763601	20.215896345354	0.226750638930669	0.820230060708117	0.349928656762936	0.179769939291883	K00336
